metric,strategy,benchmark_spy,benchmark_qqq
total_return,0.6588052765539734,0.6082285961114369,1.038417941600605
annualized_return,0.10494316464732378,0.10311973996714108,0.17049640221227746
volatility,0.12839025233635565,0.1637137571947496,0.20887158503419115
sharpe_ratio,0.841538449115716,0.6826461562212182,0.8567601242844075
max_drawdown,-0.21715392186347438,-0.2536057358303696,-0.3360659780604537
